id,title,artist,year,views,features,is_country,is_pop,is_rap,is_rb,is_rock,stanza_number,is_chorus,lemmatized_stanzas
88775,Subarashii,Dim Lewko,2022,10,{''},False,False,True,False,False,2,False,"['she', 'wanna', 'eat', 'my', 'semen', 'I', '’m', 'gon', 'bе', 'paralyze', 'I', '’m', 'not', 'your', 'husband', 'karen', 'fuck', 'I', 'thеn', 'you', 'bounce', 'new', 'hoe', 'on', 'my', 'dm', 'pass', 'you', 'to', 'my', 'slat', 'I', 'put', 'this', 'shit', 'on', 'dad', 'cause', 'I', 'ai', 'n’t', 'get', 'a', 'dad', 'I', 'can', 'not', 'die', 'today', 'nor', 'tomorrow', 'nor', 'never', 'music', 'way', 'too', 'bless', 'burn', 'your', 'ear', 'go', 'to', 'heaven', 'I', 'smash', 'my', 'car', 'on', 'a', 'tree', 'but', 'fuck', 'it', 'I', '’m', 'still', 'blaze', 'I', 'do', 'level', 'up', 'my', 'g', '’s', 'this', 'be', 'why', 'she', 'oozin', '20k', 'on', 'my', 'bank', 'let', 'I', 'double', 'up', '20k', 'in', 'the', 'safe', 'where', '’s', 'the', 'location', 'I', 'can', 'not', 'split', 'the', 'bag', 'why', 'you', 'ask', 'I', 'rich', 'than', 'yo', 'man', 'who', 'gon', 'step', 'on', 'I', 'issey', 'miyake', 'ysl', 'private', 'mode', 'when', 'I', 'land', 'jimmy', 'shoo', 'andale', 'you', 'can', 'not', 'hang', 'with', 'the', 'mob', 'pussy', 'bald', 'geodude', 'when', 'I', '’m', 'in', 'it', '’', 'over', 'you', 'gon', 'cap', 'in', 'yo', 'rap', 'you', 'do', 'not', 'know', 'I', 'what', 'know']"
133302,Identity In Christ,Golden Resurrection,2011,83,{''},False,False,False,False,True,6,False,"['identity', 'in', 'christ', 'identity', 'in', 'christ']"
120414,SPEEDRACER,Steele 11,2018,178,{''},False,False,True,False,False,4,True,"['shawty', 'get', 'crazy', 'she', 'gon', 'strip', 'it', 'down', 'for', 'I', 'say', 'she', 'only', '21', 'bitch', 'I', 'be', 'only', '17', 'but', 'I', 'get', 'all', 'of', 'these', 'hundred', 'and', 'they', 'fallin', 'out', 'my', 'jean', 'have', 'to', 'put', 'she', 'under', 'pressure', 'so', 'she', 'can', 'not', 'fuck', 'on', 'I', 'I', 'get', 'money', 'like', 'a', 'stripper', 'but', 'they', 'treat', 'I', 'like', 'a', 'king', 'I', 'be', 'a', 'fuck', 'up', 'on', 'your', 'sister', 'and', 'she', 'wanna', 'ride', 'with', 'I', 'all', 'these', 'diamond', 'flash', 'on', 'I', 'bitch', 'be', 'I', 'just', 'in', 'a', 'dream', 'baby', 'snap', 'I', 'from', 'my', 'sleep', ""'cause"", 'I', 'be', 'dozin', 'off', 'the', 'lean']"
94317,Collection Plate,Ali Jones,2002,307,{'St. Lunatics'},False,False,True,False,False,2,False,"['ali', 'you', 'go', 'to', 'hit', 'dis', 'right', 'herre']"
110335,Ei8ht Is Enuff,Masta Ace,2009,4430,{'Edo. G'},False,False,True,False,False,0,False,"['yeah', 'yeah', 'yeah', 'yeah', 'one', 'two', 'we', 'be', 'not', 'get', 'to', 'spit', 'sixteen', 'on', 'this']"
125721,Booty,Erykah Badu,2000,15615,{''},False,False,False,True,False,5,True,"['hey', 'hey', 'hey', 'see', 'I', 'do', 'not', 'want', 'he', 'cause', 'of', 'what', 'he', 'be', 'do', 'to', 'you', 'and', 'you', 'do', 'not', 'need', 'he', 'cause', 'he', 'be', 'not', 'ready', 'see', 'I', 'do', 'not', 'want', 'he', 'if', 'he', 'be', 'not', 'make', 'no', 'arrangement', 'with', 'you', 'I', 'hope', 'you', 'would', ""'ve"", 'do', 'the', 'same', 'thing', 'for', 'I', 'too']"
56760,Where Heroes Go to Die,Espen Lind,2015,20,{''},False,True,False,False,False,7,False,"['this', 'special', 'heaven', 'be', 'home', 'to', 'all', 'the', 'star', 'the', 'first', 'one', 'I', 'see', 'be', 'hendrix', 'burn', 'his', 'guitar', 'freddie', 'mercury', 'and', 'kennedy', 'be', 'there', 'but', 'I', 'do', 'not', 'see', 'marilyn', 'so', 'I', 'forget', 'to', 'ask', 'about', 'their', 'affair', 'if', 'I', 'be', 'special', 'maybe', 'I', 'could', 'be', 'a', 'hero', 'when', 'I', 'die', 'I', 'would', 'get', 'my', 'wing', 'and', 'learn', 'to', 'fly']"
141689,Disappointment,The Cranberries,1994,7073,{''},False,False,False,False,True,2,False,"['in', 'the', 'night', 'we', 'fight', 'I', 'flee', 'you', 'be', 'right', 'it', 'be', 'exactly', 'there', 'it', 'be', 'exactly', 'there', 'I', 'decide', 'decide', 'decide', 'decide', 'we', 'throw', 'you', 'out', 'in', 'the', 'night', 'we', 'fight', 'I', 'flee', 'you', 'be', 'right', 'it', 'be', 'exactly', 'there', 'it', 'be', 'exactly', 'there', 'I', 'decide', 'decide', 'decide', 'decide', 'but', 'it', 'will', 'not', 'be', 'any', 'hard', 'and', 'I', 'hope', 'you', 'will', 'find', 'your', 'way', 'again', 'and', 'it', 'will', 'not', 'get', 'any', 'high', 'but', 'it', 'all', 'boil', 'down', 'to', 'what', 'you', 'do', 'there', 'there', 'there', 'there', 'there', 'there', 'there', 'there']"
84369,No cap,Tobi Smallz,2021,13,{''},False,False,True,False,False,3,False,"['all', 'my', 'dawgs', 'out', 'in', 'their', 'mustang', 'christian', 'boy', 'you', 'would', 'find', 'I', 'with', 'the', 'muslims', '247', 'on', 'the', 'move', 'finna', 'do', 'thing', 'get', 'my', 'girl', 'act', 'up', 'with', 'the', 'mood', 'swing']"
141180,World at Redemption,Reaper (UK),2018,11,{''},False,False,False,False,True,1,False,"['harmonic', 'gunfire', 'it', 'all', 'sound', 'the', 'same', 'conflict', 'before', 'I', 'as', 'I', 'be', 'drive', 'insane', 'I', 'be', 'armed', 'for', 'battle', 'and', 'I', 'be', 'ready', 'to', 'run', 'my', 'trip', 'to', 'heaven', 'have', 'already', 'begin']"
